timestamp,sku,upc,family_key,size,length,retail_price,supply_price,action,created_id,notes
2026-05-12T20:02:19.088902+00:00,M-Kon-1013MWZGK-48-32,760609356259,SGB,48,32,68.95,34.15,ERROR,,"HTTP 422: {'error': '{\n  ""error"": ""Validation Error"",\n  ""fields"": {\n    ""name"": ""Already exists for your retailer"",\n    ""name_existing_id"": ""774bed1b-0d9a-4cf4-986e-00f0cd5571a0""\n  }\n}'}"
2026-05-12T20:02:19.088902+00:00,M-Kon-1013MWZGK-44-34,760609356204,SGB,44,34,68.95,34.15,ERROR,,"HTTP 422: {'error': '{\n  ""error"": ""Validation Error"",\n  ""fields"": {\n    ""name"": ""Already exists for your retailer"",\n    ""name_existing_id"": ""774bed1b-0d9a-4cf4-986e-00f0cd5571a0""\n  }\n}'}"
2026-05-12T20:02:19.088902+00:00,M-Kon-1013MWZGK-33-38,084084240026,SGB,33,38,63.95,32.9,ERROR,,"HTTP 422: {'error': '{\n  ""error"": ""Validation Error"",\n  ""fields"": {\n    ""name"": ""Already exists for your retailer"",\n    ""name_existing_id"": ""774bed1b-0d9a-4cf4-986e-00f0cd5571a0""\n  }\n}'}"
2026-05-12T20:02:19.088902+00:00,M-Kon-1013MWZGK-52-34,760609356327,SGB,52,34,68.95,31.65,ERROR,,"HTTP 422: {'error': '{\n  ""error"": ""Validation Error"",\n  ""fields"": {\n    ""name"": ""Already exists for your retailer"",\n    ""name_existing_id"": ""774bed1b-0d9a-4cf4-986e-00f0cd5571a0""\n  }\n}'}"
2026-05-12T20:02:19.088902+00:00,M-Kon-1013MWZGK-30-40,672787249479,SGB,30,40,66.95,31.65,ERROR,,"HTTP 422: {'error': '{\n  ""error"": ""Validation Error"",\n  ""fields"": {\n    ""name"": ""Already exists for your retailer"",\n    ""name_existing_id"": ""774bed1b-0d9a-4cf4-986e-00f0cd5571a0""\n  }\n}'}"
2026-05-12T20:02:19.088902+00:00,M-Kon-1013MWZGK-54-32,760609356341,SGB,54,32,68.95,34.15,ERROR,,"HTTP 422: {'error': '{\n  ""error"": ""Validation Error"",\n  ""fields"": {\n    ""name"": ""Already exists for your retailer"",\n    ""name_existing_id"": ""774bed1b-0d9a-4cf4-986e-00f0cd5571a0""\n  }\n}'}"
2026-05-12T20:02:19.088902+00:00,M-Kon-1013MWZGK-35-34,084084240095,SGB,35,34,63.95,31.65,ERROR,,"HTTP 422: {'error': '{\n  ""error"": ""Validation Error"",\n  ""fields"": {\n    ""name"": ""Already exists for your retailer"",\n    ""name_existing_id"": ""774bed1b-0d9a-4cf4-986e-00f0cd5571a0""\n  }\n}'}"
2026-05-12T20:02:19.088902+00:00,M-Kon-1013MWZGK-48-34,760609356266,SGB,48,34,68.95,34.15,ERROR,,"HTTP 422: {'error': '{\n  ""error"": ""Validation Error"",\n  ""fields"": {\n    ""name"": ""Already exists for your retailer"",\n    ""name_existing_id"": ""774bed1b-0d9a-4cf4-986e-00f0cd5571a0""\n  }\n}'}"
2026-05-12T20:02:19.088902+00:00,M-Kon-1013MWZGK-50-32,760609356280,SGB,50,32,68.95,34.15,ERROR,,"HTTP 422: {'error': '{\n  ""error"": ""Validation Error"",\n  ""fields"": {\n    ""name"": ""Already exists for your retailer"",\n    ""name_existing_id"": ""774bed1b-0d9a-4cf4-986e-00f0cd5571a0""\n  }\n}'}"
2026-05-12T20:02:19.088902+00:00,M-Kon-1013MWZGK-38-36,084084240194,SGB,38,36,66.95,31.65,ERROR,,"HTTP 422: {'error': '{\n  ""error"": ""Validation Error"",\n  ""fields"": {\n    ""name"": ""Already exists for your retailer"",\n    ""name_existing_id"": ""774bed1b-0d9a-4cf4-986e-00f0cd5571a0""\n  }\n}'}"
