style,keep_sku,keep_id,keep_name,delete_sku,delete_id,note,corrinne_approve,Do this
WDMXS01,WDMXS01-M-05.5,85d2d402-d07c-4ccc-be23-79a54d4c776a,Work Chukka Driving Moc WDMXS01,W-TWX-WDMXS01-NA-5.5-M,1e3db986-30bd-4099-aa04-f90b07c64587,auto-matched,yes,Use SKU W-TWX-WDMXS01-5.5-M
WDMXS01,WDMXS01-W-08.5,9754394e-3c4f-4e93-9219-5f3dfbd8f909,Work Chukka Driving Moc WDMXS01,W-TWX-WDMXS01-NA-8.5-W,9243d105-de8b-4170-a5c8-4fabd78e84a8,auto-matched,yes,Use SKU W-TWX-WDMXS01-8.5-W
WDMXS01,WDMXS01-M-09.5,8a4ff443-670e-407d-8275-10c838506aec,Work Chukka Driving Moc WDMXS01,W-TWX-WDMXS01-NA-9.5-M,57c390e3-b23f-4824-be21-040951a4a7f6,auto-matched,yes,Use SKU W-TWX-WDMXS01-9.5-M
10041063,10041063-26W-R-Nashville,22853363-c00b-4aea-951c-105b7adc529d,Ariat REAL Perfect Rise Boot Cut Jeans,A-ARI-10041063-26-NA,9f67a1da-7dec-4f2d-9ae9-d104865973db,auto-matched,delete 9f67a1da-7dec-4f2d-9ae9-d104865973db,
10041063,10041063-16W-L-Nashville,2f0852cd-21e2-4386-805a-55c00439e5d3,Ariat REAL Perfect Rise Boot Cut Jeans,W-ARI-10041063-16WL-NA,ecaf5374-0a54-4964-be64-33a9b5f06d7f,auto-matched,yes,Use sKU W-ARI-10041063-Nashville-16W-R
10041063,10041063-16W-R-Nashville,f3dbd2d8-489b-4b4e-aa0e-5e9004846395,Ariat REAL Perfect Rise Boot Cut Jeans,W-ARI-10041063-16WR-NA,6c1f997b-dc73-43a6-9ece-89215801755b,auto-matched,yes,Use sKU W-ARI-10041063-Nashville-18W-L
10041063,10041063-18W-L-Nashville,7d1b6dea-4919-4b49-b06c-920b3a7ea0ba,Ariat REAL Perfect Rise Boot Cut Jeans,W-ARI-10041063-18-NA,362ef7a1-dfff-4eaf-98d7-13be11f94c73,auto-matched,yes,Use sKU W-ARI-10041063-Nashville-16W-L
10041063,10041063-20W-R-Nashville,e71d7365-e490-4376-bfaf-b783d538c47e,Ariat REAL Perfect Rise Boot Cut Jeans,W-ARI-10041063-20-NA,8862a66d-a114-4e37-90da-26286f3f96e8,2 candidates — confirm correct,delete 8862a66d-a114-4e37-90da-26286f3f96e8,
10041063,10041063-20W-R-Nashville,e71d7365-e490-4376-bfaf-b783d538c47e,Ariat REAL Perfect Rise Boot Cut Jeans,W-ARI-10041063-20WR-NA,0e83d1a7-0976-4690-b673-7d01baa63fec,auto-matched,just delete 0e83d1a7-0976-4690-b673-7d01baa63fec,Use SKU W-ARI 10041063-Nashville-20W-R
10041063,10041063-22W-L-Nashville,64e7a94e-8899-4611-8c1e-2c76ea03cf25,Ariat REAL Perfect Rise Boot Cut Jeans,W-ARI-10041063-22-NA,bae53ed6-d109-4a4a-81e0-bb2118295d87,2 candidates — confirm correct,delete bae53ed6-d109-4a4a-81e0-bb2118295d87,Use SKU W-ARI 10041063-Nashville-22W-L
10041063,10041063-22W-R-Nashville,00269486-dd27-4c07-a5e5-1121e91ab6b3,Ariat REAL Perfect Rise Boot Cut Jeans,W-ARI-10041063-22WR-NA,e3f084a3-595d-41e7-8f27-409000fa27d9,auto-matched,delete e3f084a3-595d-41e7-8f27-409000fa27d9,Use SKU W-ARI 10041063-Nashville-22W-R
10041063,10041063-24W-R-Nashville,cc00c64e-2b2d-42de-946d-4709d52b9011,Ariat REAL Perfect Rise Boot Cut Jeans,W-ARI-10041063-24WR-NA,c4d9cccf-16ba-4363-80ec-80cfa445ecd5,auto-matched,delete c4d9cccf-16ba-4363-80ec-80cfa445ecd5,Use SKU W-ARI 10041063-Nashville-24W-R
10041063,10041063-25-X-L-Nashville,a91a6118-033d-4abb-bfee-393c01794e43,Ariat REAL Perfect Rise Boot Cut Jeans,W-ARI-10041063-25-S,59c96217-ba74-483c-b21d-9940ca19bcc2,2 candidates — confirm correct,delete 59c96217-ba74-483c-b21d-9940ca19bcc2,
